,player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,name
19998,120014,Luis,Franzani,U,19750302,CHI,,,Luis Franzani
19999,120015,Luis Felipe,Contreras,R,19830215,CHI,,,Luis Felipe Contreras
20000,120016,Alfonso,Fernandez Guimera,U,19870907,ESP,,,Alfonso Fernandez Guimera
20001,120017,Juan Carlo,Acuna Gerard,R,19901113,MEX,,,Juan Carlo Acuna Gerard
20002,120018,Gerardo,Suarez,U,19841003,MEX,,,Gerardo Suarez
20003,120019,Jonathon,Galyon,U,19880416,USA,,,Jonathon Galyon
20004,120020,Martin,Echandi,U,19720525,CRC,,,Martin Echandi
20005,120021,Mario,Cal,U,19880311,PAN,,,Mario Cal
20006,120022,Arnulfo,Courtney,U,19710923,PAN,,,Arnulfo Courtney
20007,120023,Franck,Dalla Santa,U,19811210,FRA,,,Franck Dalla Santa
20008,120024,Sebastian,Suarez,U,19790614,MEX,,,Sebastian Suarez
20009,120025,Nathan M,Price,R,19800601,AUS,,,Nathan M Price
20010,120026,Luca,Bianchini,R,19860405,ITA,,,Luca Bianchini
20011,120027,Jorge,Molina De La Rosa,R,19890825,MEX,,,Jorge Molina De La Rosa
20012,120028,Bjorn,Van Muysewinkel,R,19830421,BEL,,,Bjorn Van Muysewinkel
20013,120029,Terkaa,Nambe,U,19821116,NGR,,,Terkaa Nambe
20014,120030,Serge,Carpentier,U,19650227,BEL,,,Serge Carpentier
20015,120031,Mihai,Draganescu,U,19870616,ITA,,,Mihai Draganescu
20016,120032,Tony,Urhobo,U,19781028,NGR,,,Tony Urhobo
20017,120033,Hicham,Laalej,R,19870419,MAR,,,Hicham Laalej
20018,120034,Alex,Lane,R,19861015,USA,,,Alex Lane
20019,120035,Xu,Yin,R,19860820,CHN,,,Xu Yin
20020,120036,Xiao Long,Yin,U,19880918,CHN,,,Xiao Long Yin
20021,120037,Carlos,Previ Aliano,U,19880208,ESP,,,Carlos Previ Aliano
20022,120038,Daniel Andrea,Rodriguez Redondo,R,19840413,ESP,,,Daniel Andrea Rodriguez Redondo
20023,120039,Maxime,Adam,U,19850628,FRA,,,Maxime Adam
20024,120040,Hugo,Le Coq,U,19770526,FRA,,,Hugo Le Coq
20025,120041,Giovanni,Di Fraia,U,19860624,ITA,,,Giovanni Di Fraia
20026,120042,Roberto,Dadamo,U,19870709,ITA,,,Roberto Dadamo
20027,120043,Benjamin George,Levi,L,19900101,GBR,,,Benjamin George Levi
20028,120044,Joakim Bay,Simonsen,U,19870504,DEN,,,Joakim Bay Simonsen
20029,120045,Alessio,Genovese,R,19841212,ITA,,,Alessio Genovese
20030,120046,Laerte,Di Falco,R,19861224,ITA,,,Laerte Di Falco
20031,120047,Boi Benje,Bruggen,U,19900416,GER,,,Boi Benje Bruggen
20032,120048,Jason,Cole,R,19830808,USA,,,Jason Cole
20033,120049,Francisco,Lourenco,U,19881016,POR,,,Francisco Lourenco
20034,120050,Jeremy,Brouche,U,19880601,FRA,,,Jeremy Brouche
20035,120051,Michelangelo,Di Mauro,U,19850706,ITA,,,Michelangelo Di Mauro
20036,120052,Jeremiah,Fuller,R,19831105,USA,,,Jeremiah Fuller
20037,120053,Ivo,Salvador,U,19840109,POR,,,Ivo Salvador
20038,120054,Ivan Rayco,Valls Campos,U,19810525,ESP,,,Ivan Rayco Valls Campos
20039,120055,Victor,Garcia Gimeno,U,19840409,ESP,,,Victor Garcia Gimeno
20040,120056,Rasmus,Jonasson,L,19890828,SWE,,Q7295107,Rasmus Jonasson
20041,120057,Yong Ho,Kwon,U,19830623,KOR,,,Yong Ho Kwon
20042,120058,Jong Guk,Ho,R,19850901,KOR,,,Jong Guk Ho
20043,120059,Hong Ryun,Kim,U,19850128,KOR,,,Hong Ryun Kim
20044,120060,Il Hae,Kim,U,19850227,KOR,,,Il Hae Kim
20045,120061,Jae Bin,Jeon,U,19900820,KOR,,,Jae Bin Jeon
20046,120062,Chang Ho,Choi,L,19860210,KOR,,,Chang Ho Choi
20047,120063,Mohammed Abdullah,Al Nuaimi,U,19880317,UAE,,,Mohammed Abdullah Al Nuaimi
20048,120064,Ryo,Nakagawa,U,19820202,JPN,,,Ryo Nakagawa
20049,120065,Kenta,Nakayama,U,19890610,JPN,,,Kenta Nakayama
20050,120066,Mizuto,Fujita,U,19850603,JPN,,,Mizuto Fujita
20051,120067,Masato,Matsuda,U,19800701,JPN,,,Masato Matsuda
20052,120068,Kohei,Tani,U,19850709,JPN,,,Kohei Tani
20053,120069,Hirozumi,Ando,U,19791030,JPN,,,Hirozumi Ando
20054,120070,Yassine,El Ghazi,U,19890822,MAR,,,Yassine El Ghazi
20055,120071,Tulio,Davila,U,19880827,GUA,,,Tulio Davila
20056,120072,Cristian,Orduna Guzman,U,19881227,MEX,,,Cristian Orduna Guzman
20057,120073,Ruben,Aboytes,U,19880914,MEX,,,Ruben Aboytes
20058,120074,Hector,Garcia,R,19900419,MEX,,,Hector Garcia
20059,120075,Alberto,Rojas Maldonado,R,19880227,MEX,,,Alberto Rojas Maldonado
20060,120076,Adrian,Guzman,U,19880226,MEX,,,Adrian Guzman
20061,120077,Javier,Becerra Hernandez,U,19700816,MEX,,,Javier Becerra Hernandez
20062,120078,Christian,Gutierrez,U,19830504,MEX,,,Christian Gutierrez
20063,120079,Matias Omar,Tello,U,19870918,ARG,,,Matias Omar Tello
20064,120080,David,Robles Torralba,R,19870224,ESP,,,David Robles Torralba
20065,120081,Valentine,Dunenkov,U,19740703,RUS,,,Valentine Dunenkov
20066,120082,Aaron,Bishop,L,19870812,AUS,,,Aaron Bishop
20067,120083,Jonas,Mouly,U,19850603,FRA,,,Jonas Mouly
20068,120084,Freddy,Luciani,U,19830618,VEN,,,Freddy Luciani
20069,120085,Ryan,Recht,U,19820718,USA,,,Ryan Recht
20070,120086,Gerardo,Diaz,U,19860912,USA,,,Gerardo Diaz
20071,120087,Hasan Sharif,Al Marzouqi,U,19880726,UAE,,,Hasan Sharif Al Marzouqi
20072,120088,Jorge,Rangel,U,19810727,PUR,,,Jorge Rangel
